Docket Number,Country,Sub Case,Status,Other Reference No.,Application No,Filing Date,No,Due Date,Amount,CPI Payment Date
14CHEM0080,DE,,Granted,14CHEM0080-DE-EPT,16798826.0,11/14/2016,9,11/14/2024,416,11/24/2024
14CHEM0080,DE,,Granted,14CHEM0080-DE-EPT,16798826.0,11/14/2016,10,11/14/2025,544,
14CHEM0080,FR,,Granted,14CHEM0080-FR-EPT,16798826.0,11/14/2016,9,11/14/2024,217,11/24/2024
14CHEM0080,FR,,Granted,14CHEM0080-FR-EPT,16798826.0,11/14/2016,10,11/14/2025,282,
14CHEM0080,GB,,Granted,14CHEM0080-GB-EPT,16798826.0,11/14/2016,9,11/14/2024,215,11/26/2024
14CHEM0080,GB,,Granted,14CHEM0080-GB-EPT,16798826.0,11/14/2016,10,11/14/2025,260,
14CHEM0080,NL,,Granted,14CHEM0080-NL-EPT,16798826.0,11/14/2016,9,11/14/2024,404,11/26/2024
14CHEM0080,NL,,Granted,14CHEM0080-NL-EPT,16798826.0,11/14/2016,10,11/14/2025,507,
14CHEM0090,CN,,Granted,14CHEM0090-CN-PCT,201680047057.4,2/9/2018,10,6/23/2025,578,5/29/2025
14CHEM0090,CN,,Granted,14CHEM0090-CN-PCT,201680047057.4,2/9/2018,11,6/23/2026,582,
14CHEM0090,EP,,Abandoned,14CHEM0090-EP-EPT,16733399.6,1/25/2018,10,6/23/2025,2023,
14CHEM0100,GB,,Granted,14CHEM0100-GB-EPT,17752760.3,2/13/2017,9,2/13/2025,217,2/26/2025
14CHEM0100,GB,,Granted,14CHEM0100-GB-EPT,17752760.3,2/13/2017,10,2/13/2026,260,
14CHEM0100,GC,,Granted,14CHEM0100-GC-NP,2017/32940,2/15/2017,9,3/1/2025,1539,2/16/2025
14CHEM0100,GC,,Granted,14CHEM0100-GC-NP,2017/32940,2/15/2017,10,3/1/2026,1592,
14CHEM0100,NL,,Granted,14CHEM0100-NL-EPT,17752760.3,2/13/2017,9,2/13/2025,404,2/26/2025
14CHEM0100,NL,,Granted,14CHEM0100-NL-EPT,17752760.3,2/13/2017,10,2/13/2026,507,
14CHEM0109,DE,,Abandoned,14CHEM0109-DE-EPT,16797654.7,11/8/2016,9,11/8/2024,416,11/24/2024
14CHEM0109,DE,,Abandoned,14CHEM0109-DE-EPT,16797654.7,11/8/2016,10,11/8/2025,545,
14CHEM0109,FR,,Abandoned,14CHEM0109-FR-EPT,16797654.7,11/8/2016,9,11/8/2024,217,11/24/2024
14CHEM0109,FR,,Abandoned,14CHEM0109-FR-EPT,16797654.7,11/8/2016,10,11/8/2025,282,
14CHEM0109,GB,,Granted,14CHEM0109-GB-EPT,16797654.7,11/8/2016,9,11/8/2024,215,11/26/2024
14CHEM0109,GB,,Granted,14CHEM0109-GB-EPT,16797654.7,11/8/2016,10,11/8/2025,260,
14CHEM0109,GC,,Abandoned,14CHEM0109-GC-DIV[3],201641511,7/4/2021,10,3/1/2025,1592,
14CHEM0109,GC,A,Granted,14CHEM0109-GC-NP,201632364,11/13/2016,10,3/1/2025,1592,2/16/2025
14CHEM0109,GC,A,Granted,14CHEM0109-GC-NP,201632364,11/13/2016,11,3/1/2026,1646,
14CHEM0109,GC,B,Abandoned,14CHEM0109-GC-DIV,201637969,7/23/2019,10,3/1/2025,1592,
14CHEM0109,GC,C,Abandoned,14CHEM0109-GC-DIV[2],201640226,8/1/2020,10,3/1/2025,1592,
14CHEM0109,IN,A,Granted,14CHEM0109-IN-PCT,201817015096,4/20/2018,9,11/8/2024,244,10/25/2024
14CHEM0109,IN,A,Granted,14CHEM0109-IN-PCT,201817015096,4/20/2018,10,11/8/2025,192,
14CHEM0109,NL,,Granted,14CHEM0109-NL-EPT,16797654.7,11/8/2016,9,11/8/2024,404,11/26/2024
14CHEM0109,NL,,Granted,14CHEM0109-NL-EPT,16797654.7,11/8/2016,10,11/8/2025,507,
14CHEM0116,CN,,Granted,14CHEM0116-CN-PCT,201880081669.4,6/17/2020,7,12/12/2024,305,11/16/2024
14CHEM0116,CN,,Granted,14CHEM0116-CN-PCT,201880081669.4,6/17/2020,8,12/12/2025,306,
